73129977395506	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心
640236023605	快件离开 【北京大兴天街】 已发往 【京南转运中心】	中转及转运中心	
640236023936	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640236023983	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640236024249	快件离开 【广州中心】 已发往 【海南中转】	中转及转运中心	
640236047795	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640236048345	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640236048586	快件离开 【北京】 已发往 【邢邯转运中心】	中转及转运中心	
640236048691	快件离开 【北京】 已发往 【邢邯转运中心】	中转及转运中心	
640236048736	快件离开 【大连】 已发往 【盘锦中转】	中转及转运中心	
640236048771	快件离开 【北京】 已发往 【邢邯转运中心】	中转及转运中心	
640236366765	快件离开 【北京】 已发往 【莱阳中转】	中转及转运中心	
640236507502	快件离开 【广州中心】 已发往 【海南中转】	中转及转运中心	
640237610268	快件离开 【杭州中转部】 已发往 【义乌中转部】	中转及转运中心	
640237610294	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640237610395	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
640247702822	快件离开 【西安桃园路】 已发往 【西安中转】	中转及转运中心	
640248611034	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
640250402653	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
640250402697	快件离开 【上海浦东中心】 已发往 【京南转运中心】	中转及转运中心	
640250402702	快件离开 【上海浦东中心】 已发往 【京南转运中心】	中转及转运中心	
640250464905	快件离开 【上海浦东中心】 已发往 【太原中转】	中转及转运中心	
640250464930	快件离开 【上海】 已发往 【京南转运中心】	中转及转运中心	
640250464949	快件离开 【天津中转部】 已发往 【京南转运中心】	中转及转运中心	
640250464952	快件离开 【上海】 已发往 【京南转运中心】	中转及转运中心	
640250854050	快件离开 【无锡中转部】 已发往 【华中中转部】	中转及转运中心	
640251538863	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
640254634201	快件离开 【北京】 已发往 【京南转运中心】	中转及转运中心	
640254634451	快件离开 【北京首都机场分部】 已发往 【莱阳中转】	中转及转运中心	
640254634531	快件离开 【北京】 已发往 【邢邯转运中心】	中转及转运中心	
640254634608	快件离开 【北京首都机场分部】 已发往 【华北转运中心】	中转及转运中心	
640254770233	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
640254770242	快件离开 【北京大兴天街】 已发往 【京南转运中心】	中转及转运中心	
640255276046	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640255276862	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640256125141	快件离开 【北京】 已发往 【莱阳中转】	中转及转运中心	
640259894099	快件离开 【上海】 已发往 【华中中转部】	中转及转运中心	
640259894206	快件离开 【上海】 已发往 【华中中转部】	中转及转运中心	
640259894218	快件离开 【上海】 已发往 【义乌中转部】	中转及转运中心	
640259894269	快件离开 【上海】 已发往 【华中中转部】	中转及转运中心	
640260116578	快件离开 【上海】 已发往 【襄樊中转】	中转及转运中心	
640260116587	快件离开 【上海】 已发往 【莱阳中转】	中转及转运中心	
640261018135	快件离开 【北京】 已发往 【京南转运中心】	中转及转运中心	
640261072147	快件离开 【瑞丽】 已发往 【昆明中转】	中转及转运中心	
640261530491	快件离开 【昆明中转】 已发往 【华中中转部】	中转及转运中心	
640261681935	快件离开 【昆明中转】 已发往 【京南转运中心】	中转及转运中心	
640261682655	快件离开 【昆明中转】 已发往 【京南转运中心】	中转及转运中心	
640273611658	快件离开 【上海】 已发往 【华北转运中心】	中转及转运中心	
640273611700	快件离开 【上海】 已发往 【华北转运中心】	中转及转运中心	
640273611822	快件离开 【上海】 已发往 【邢邯转运中心】	中转及转运中心	
640273611850	快件离开 【上海】 已发往 【华北转运中心】	中转及转运中心	
73124035218846	快件离开 【昭阳北部新区】 已发往 【昆明中转】	中转及转运中心	
73126756156738	快件离开 【淮安中转】 已发往 【莱阳中转】	中转及转运中心	
73126781726516	快件离开 【深圳沙井】 已发往 【邢邯转运中心】	中转及转运中心	
73126843723424	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73126889695157	快件离开 【广州中心】 已发往 【海南中转】	中转及转运中心	
73126907792046	快件离开 【石家庄】 已发往 【沧衡转运中心】	中转及转运中心	
73126940557066	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73126956909327	快件离开 【西安中转】 已发往 【京南转运中心】	中转及转运中心	
73126957084567	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73126970204324	快件离开 【郑州中转】 已发往 【莱阳中转】	中转及转运中心	
73127015679433	快件离开 【长沙中转部】 已发往 【京南转运中心】	中转及转运中心	
73127049872456	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
73127073033536	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73127153953080	快件离开 【无锡中转部】 已发往 【京南转运中心】	中转及转运中心	
73127231645128	快件离开 【瑞丽】 已发往 【昆明中转】	中转及转运中心	
73127291604113	快件离开 【石家庄】 已发往 【沧衡转运中心】	中转及转运中心	
73127452926523	快件离开 【淮安中转】 已发往 【莱阳中转】	中转及转运中心	
73127502034771	快件离开 【昭阳北部新区】 已发往 【昆明中转】	中转及转运中心	
73127502035007	快件离开 【昭阳北部新区】 已发往 【昆明中转】	中转及转运中心	
73127502237237	快件离开 【古田大桥镇】 已发往 【福州中转】	中转及转运中心	
73127502246396	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73127502246482	快件离开 【陇川二部】 已发往 【昆明中转】	中转及转运中心	
73127502246533	快件离开 【昭阳北部新区】 已发往 【昆明中转】	中转及转运中心	
73127504985266	快件离开 【古田大桥镇】 已发往 【福州中转】	中转及转运中心	
73127504996226	快件离开 【昭阳北部新区】 已发往 【昆明中转】	中转及转运中心	
73127504996261	快件离开 【陇川二部】 已发往 【昆明中转】	中转及转运中心	
73127505078240	快件离开 【古田大桥镇】 已发往 【福州中转】	中转及转运中心	
73127505079062	快件离开 【古田大桥镇】 已发往 【福州中转】	中转及转运中心	
73127505207850	快件离开 【昭阳北部新区】 已发往 【昆明中转】	中转及转运中心	
73127505207995	快件离开 【陇川二部】 已发往 【昆明中转】	中转及转运中心	
73127505280965	快件离开 【古田大桥镇】 已发往 【福州中转】	中转及转运中心	
73127505281186	快件离开 【古田大桥镇】 已发往 【福州中转】	中转及转运中心	
73127505281721	快件离开 【昆明中转】 已发往 【昆明中转】	中转及转运中心	
73127505405010	快件离开 【昭阳北部新区】 已发往 【昆明中转】	中转及转运中心	
73127827988830	快件离开 【荆州中转部】 已发往 【襄樊中转】	中转及转运中心	
73127868284586	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73127878701259	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73127879623338	快件离开 【昆明中转】 已发往 【昆明中转】	中转及转运中心	
73127887411661	快件离开 【盈江象城路分部】 已发往 【昆明中转】	中转及转运中心	
73127891556228	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73127891855183	快件离开 【长兴】 已发往 【杭州中转部】	中转及转运中心	
73127892057476	快件离开 【长兴】 已发往 【杭州中转部】	中转及转运中心	
73127907103602	快件离开 【贵阳】 已发往 【武汉中转部】	中转及转运中心	
73127907103735	快件离开 【贵阳】 已发往 【华中中转部】	中转及转运中心	
73127907103827	快件离开 【贵阳】 已发往 【华中中转部】	中转及转运中心	
73128021203346	快件离开 【郑州中转】 已发往 【莱阳中转】	中转及转运中心	
73128021917677	快件离开 【昆明中转】 已发往 【华中中转部】	中转及转运中心	
73128080962167	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73128091729868	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73128125787833	快件离开 【昆明中转】 已发往 【华中中转部】	中转及转运中心	
73128146445852	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73128231310627	快件离开 【郑州中转】 已发往 【华中中转部】	中转及转运中心	
73128293014144	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73128480672396	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
73128481212334	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
73128585699987	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73128664414386	快件离开 【漯河中转】 已发往 【漯河中转】	中转及转运中心	
73128711351548	快件离开 【郑州中转】 已发往 【莱阳中转】	中转及转运中心	
73129072600516	快件离开 【昆明中转】 已发往 【京南转运中心】	中转及转运中心	
73129091426928	快件离开 【天津中转部】 已发往 【莱阳中转】	中转及转运中心	
73129108123646	快件离开 【成都中转】 已发往 【襄樊中转】	中转及转运中心	
73129196496555	快件离开 【石家庄】 已发往 【邢邯转运中心】	中转及转运中心	
73129227047563	快件离开 【成都中转】 已发往 【华中中转部】	中转及转运中心	
73129231224882	快件离开 【昆明中转】 已发往 【杭州中转部】	中转及转运中心	
73129231232437	快件离开 【昆明中转】 已发往 【杭州中转部】	中转及转运中心	
73129231307855	快件离开 【昆明中转】 已发往 【福州中转】	中转及转运中心	
73129237305977	快件离开 【芒市】 已发往 【昆明中转】	中转及转运中心	
73129237306003	快件离开 【芒市】 已发往 【昆明中转】	中转及转运中心	
73129302739426	快件离开 【盘锦中转】 已发往 【京南转运中心】	中转及转运中心	
73129337160064	快件离开 【成都中转】 已发往 【华中中转部】	中转及转运中心	
73129392481222	快件离开 【成都中转】 已发往 【华中中转部】	中转及转运中心	
73129457214104	快件离开 【荆州中转部】 已发往 【襄樊中转】	中转及转运中心	
73129474514716	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73129501791342	快件离开 【成都中转】 已发往 【华中中转部】	中转及转运中心	
73129567005885	快件离开 【济宁中转部】 已发往 【京南转运中心】	中转及转运中心	
73129664159596	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心	
73129721610302	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73129821416592	快件离开 【南宁中转】 已发往 【海南中转】	中转及转运中心	
73129856176560	快件离开 【郑州中转】 已发往 【京南转运中心】	中转及转运中心	
73129870700355	快件离开 【无锡中转部】 已发往 【海南中转】	中转及转运中心	
73130149011174	快件离开 【无锡中转部】 已发往 【海南中转】	中转及转运中心	
73130200023880	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73130208799141	快件离开 【无锡中转部】 已发往 【海南中转】	中转及转运中心	
73130264416713	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73130379518487	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73130384383460	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心	
73130543011501	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73130670768153	快件离开 【瑞丽】 已发往 【昆明中转】	中转及转运中心	
73130765038768	快件离开 【郑州中转】 已发往 【京南转运中心】	中转及转运中心	
73130773780064	快件离开 【昆明中转】 已发往 【京南转运中心】	中转及转运中心	
73130826056921	快件离开 【蚌埠中转部】 已发往 【义乌中转部】	中转及转运中心	
73130834952284	快件离开 【临沂中转部】 已发往 【莱阳中转】	中转及转运中心	
73130897281811	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心	
73130955578891	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73131056847626	快件离开 【瑞丽】 已发往 【昆明中转】	中转及转运中心	
73131056865136	快件离开 【瑞丽】 已发往 【昆明中转】	中转及转运中心	
73131080333933	快件离开 【成都中转】 已发往 【襄樊中转】	中转及转运中心	
73131097170632	快件离开 【昆明中转】 已发往 【京南转运中心】	中转及转运中心	
73131104924239	快件离开 【瑞丽】 已发往 【昆明中转】	中转及转运中心	
73131181876951	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心	
73131352217833	快件离开 【昆明中转】 已发往 【京南转运中心】	中转及转运中心	
73131361243427	快件离开 【北京】 已发往 【华中中转部】	中转及转运中心	
73131394995017	快件离开 【郑州中转】 已发往 【华中中转部】	中转及转运中心	
73131557321333	快件离开 【苏州中转部】 已发往 【京南转运中心】	中转及转运中心	
73131559458162	快件离开 【昆明中转】 已发往 【义乌中转部】	中转及转运中心	
73131642539470	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73131675898180	快件离开 【郑州中转】 已发往 【华中中转部】	中转及转运中心	
73131689593237	快件离开 【荆州中转部】 已发往 【襄樊中转】	中转及转运中心	
73131727874056	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73131766007876	快件离开 【临沂中转部】 已发往 【莱阳中转】	中转及转运中心	
73131772297051	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73131810592266	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73131816217887	快件离开 【昆明中转】 已发往 【义乌中转部】	中转及转运中心	
73131851021162	快件离开 【天津中转部】 已发往 【莱阳中转】	中转及转运中心	
73131909440988	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
73131918687476	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73131964826822	快件离开 【哈尔滨中转】 已发往 【华中中转部】	中转及转运中心	
73132042385706	快件离开 【昆明中转】 已发往 【义乌中转部】	中转及转运中心	
73132213559056	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
73132278652009	快件离开 【临沂中转部】 已发往 【莱阳中转】	中转及转运中心	
73132310217489	快件离开 【哈尔滨中转】 已发往 【华中中转部】	中转及转运中心	
73132412565210	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心	
73132493479869	快件离开 【成都中转】 已发往 【京南转运中心】	中转及转运中心	
73132525216170	快件离开 【昆明中转】 已发往 【义乌中转部】	中转及转运中心	
73132546083116	快件离开 【昆明中转】 已发往 【京南转运中心】	中转及转运中心	
73132552234819	快件离开 【靖江】 已发往 【泰州中转部】	中转及转运中心	
73132590265653	快件离开 【昆明中转】 已发往 【华中中转部】	中转及转运中心	
73132590642444	快件离开 【济宁中转部】 已发往 【华中中转部】	中转及转运中心	
73132735387510	快件离开 【成都中转】 已发往 【华北转运中心】	中转及转运中心	
73132787898604	快件离开 【郑州中转】 已发往 【华中中转部】	中转及转运中心	
73132828869122	快件离开 【成都中转】 已发往 【襄樊中转】	中转及转运中心	
73132828880746	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73133071473726	快件离开 【郑州中转】 已发往 【海南中转】	中转及转运中心	
73133086359499	快件离开 【聊城图书城分部】 已发往 【济南中转部】	中转及转运中心	
73133383980335	快件离开 【北京崇文】 已发往 【华北转运中心】	中转及转运中心	
73133388692238	快件离开 【晋城分拨中心】 已发往 【侯马中转部】	中转及转运中心	
73133419810515	快件离开 【成都中转】 已发往 【滇西中转部】	中转及转运中心	
73133457567846	快件离开 【聊城图书城分部】 已发往 【济南中转部】	中转及转运中心	
73133485618433	快件离开 【上海】 已发往 【华北转运中心】	中转及转运中心	
73133553554482	快件离开 【成都中转】 已发往 【华中中转部】	中转及转运中心	
73133595558626	快件离开 【北京崇文】 已发往 【华北转运中心】	中转及转运中心	
73133655850932	快件离开 【昆明中转】 已发往 【华中中转部】	中转及转运中心	
73133749038606	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
73134539619058	快件离开 【唐山中心】 已发往 【华北转运中心】	中转及转运中心	
74100002308604	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002662335	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002662340	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002662366	快件离开 【西安中转】 已发往 【襄樊中转】	中转及转运中心	
74100002662500	快件离开 【长沙中转部】 已发往 【华中中转部】	中转及转运中心	
74100002662587	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002662616	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002663187	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002663205	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002663221	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002663228	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002663233	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002663577	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002663639	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699662	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699693	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699721	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699734	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699744	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002699775	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699777	快件离开 【西安中转】 已发往 【襄樊中转】	中转及转运中心	
74100002699790	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699822	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699850	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699916	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699958	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699972	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699977	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002699991	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
74100002700007	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002700017	快件离开 【西安中转】 已发往 【襄樊中转】	中转及转运中心	
74100002700060	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002700062	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
74100002700068	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
75332039546627	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
75334875785318	快件离开 【佛山中心】 已发往 【邢邯转运中心】	中转及转运中心	
75335353888881	快件离开 【广州中心】 已发往 【邢邯转运中心】	中转及转运中心	
75339132848691	快件离开 【济南中转部】 已发往 【京南转运中心】	中转及转运中心	
75339470731584	快件离开 【昆明中转】 已发往 【义乌中转部】	中转及转运中心	
75340222900538	快件离开 【广州中心】 已发往 【京南转运中心】	中转及转运中心	
75341676253934	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
75341680881168	快件离开 【泉州中转部】 已发往 【京南转运中心】	中转及转运中心	
75341680997882	快件离开 【水区一部】 已发往 【乌鲁木齐中转】	中转及转运中心	
75342041150640	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
75342048048951	快件离开 【甘南接驳站】 已发往 【兰州中转】	中转及转运中心	
75344238281137	快件离开 【深圳松岗】 已发往 【京南转运中心】	中转及转运中心	
75345301281336	快件离开 【晋城分拨中心】 已发往 【侯马中转部】	中转及转运中心	
75345632836655	快件离开 【广州中心】 已发往 【义乌中转部】	中转及转运中心	
75347037019852	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
75347773158968	快件离开 【晋城分拨中心】 已发往 【侯马中转部】	中转及转运中心	
75349480968294	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
75350513261525	快件离开 【旌德】 已发往 【芜湖中转部】	中转及转运中心	
75350534279081	快件离开 【瑞丽姐告三】 已发往 【昆明中转】	中转及转运中心	
75350823777478	快件离开 【漯河中转】 已发往 【京南转运中心】	中转及转运中心	
75352305866939	快件离开 【泉州中转部】 已发往 【华中中转部】	中转及转运中心	
75352387087063	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
75352464646969	快件离开 【泉州中转部】 已发往 【沧衡转运中心】	中转及转运中心	
75353626981052	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
75353744908298	快件离开 【泉州中转部】 已发往 【京南转运中心】	中转及转运中心	
75353997109761	快件离开 【旌德】 已发往 【芜湖中转部】	中转及转运中心	
75354258820257	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
75354330549390	快件离开 【旌德】 已发往 【芜湖中转部】	中转及转运中心	
75355304593896	快件离开 【瑞丽】 已发往 【昆明中转】	中转及转运中心	
75355623028837	快件离开 【泉州中转部】 已发往 【京南转运中心】	中转及转运中心	
75356211001972	快件离开 【无锡中转部】 已发往 【京南转运中心】	中转及转运中心	
75357726601780	快件离开 【石家庄】 已发往 【邢邯转运中心】	中转及转运中心	
75358033562293	快件离开 【深圳松岗】 已发往 【沧衡转运中心】	中转及转运中心	
75358332589746	快件离开 【深圳松岗】 已发往 【义乌中转部】	中转及转运中心	
75358334083700	快件离开 【南昌中转部】 已发往 【赣州中转部】	中转及转运中心	
75358912411527	快件离开 【泉州中转部】 已发往 【华中中转部】	中转及转运中心	
75359907883556	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
75360005588745	快件离开 【石家庄】 已发往 【邢邯转运中心】	中转及转运中心	
75361419683857	快件离开 【昆明中转】 已发往 【滇西中转部】	中转及转运中心	
75361436744151	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
75361546820265	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
75363344129376	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
75364008487204	快件离开 【天津中转部】 已发往 【莱阳中转】	中转及转运中心	
773036328424839	快件由【福建泉州转运中心】发往【华中武昌转运中心】	中转及转运中心	
773037012147294	快件由【福建泉州转运中心】发往【内蒙古呼市转运中心】	中转及转运中心	
776003610832233	快件由【山东济南转运中心】发往【山东曲阜转运中心】	中转及转运中心	
78120230145662	快件离开 【绥化】 已发往 【哈尔滨中转】	中转及转运中心	
78122794061927	快件离开 【北京】 已发往 【莱阳中转】	中转及转运中心	
78127383166420	快件离开 【郑州中转】 已发往 【京南转运中心】	中转及转运中心	
78133623935175	快件离开 【杭州中转部】 已发往 【京南转运中心】	中转及转运中心	
78134889601672	快件离开 【深圳龙华】 已发往 【义乌中转部】	中转及转运中心	
